Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.8,pixel,0.0000,2700,0.9500
1.8,pixel,0.0000,3000,0.9479
1.8,pixel,0.0100,100,0.8678
1.8,pixel,0.0100,400,0.9040
1.8,pixel,0.0100,700,0.9095
1.8,pixel,0.0100,1000,0.9124
1.8,pixel,0.0100,1300,0.9119
1.8,pixel,0.0100,1600,0.9134
1.8,pixel,0.0100,1900,0.9169
1.8,pixel,0.0100,2100,0.9176
1.8,pixel,0.0100,2400,0.9183
1.8,pixel,0.0100,2700,0.9169
1.8,pixel,0.0100,3000,0.9174
1.8,pixel,0.0200,100,0.8277
1.8,pixel,0.0200,400,0.8684
1.8,pixel,0.0200,700,0.8793
1.8,pixel,0.0200,1000,0.8799
1.8,pixel,0.0200,1300,0.8791
1.8,pixel,0.0200,1600,0.8820
1.8,pixel,0.0200,1900,0.8798
1.8,pixel,0.0200,2100,0.8821
1.8,pixel,0.0200,2400,0.8820
1.8,pixel,0.0200,2700,0.8820
1.8,pixel,0.0200,3000,0.8865
1.8,pixel,0.0300,100,0.7976
1.8,pixel,0.0300,400,0.8313
1.8,pixel,0.0300,700,0.8499
1.8,pixel,0.0300,1000,0.8522
1.8,pixel,0.0300,1300,0.8549
1.8,pixel,0.0300,1600,0.8520
1.8,pixel,0.0300,1900,0.8530
1.8,pixel,0.0300,2100,0.8577
1.8,pixel,0.0300,2400,0.8553
1.8,pixel,0.0300,2700,0.8556
1.8,pixel,0.0300,3000,0.8557
1.8,pixel,0.0400,100,0.7404
1.8,pixel,0.0400,400,0.8036
1.8,pixel,0.0400,700,0.8223
1.8,pixel,0.0400,1000,0.8242
1.8,pixel,0.0400,1300,0.8251
1.8,pixel,0.0400,1600,0.8260
1.8,pixel,0.0400,1900,0.8269
1.8,pixel,0.0400,2100,0.8272
1.8,pixel,0.0400,2400,0.8279
1.8,pixel,0.0400,2700,0.8282
1.8,pixel,0.0400,3000,0.8256
1.8,pixel,0.0500,100,0.7039
1.8,pixel,0.0500,400,0.7587
1.8,pixel,0.0500,700,0.7705
1.8,pixel,0.0500,1000,0.7802
1.8,pixel,0.0500,1300,0.7710
1.8,pixel,0.0500,1600,0.7786
1.8,pixel,0.0500,1900,0.7764
1.8,pixel,0.0500,2100,0.7762
1.8,pixel,0.0500,2400,0.7786
1.8,pixel,0.0500,2700,0.7754
1.8,pixel,0.0500,3000,0.7811
1.8,pixel,0.0600,100,0.6323
1.8,pixel,0.0600,400,0.7146
1.8,pixel,0.0600,700,0.7331
1.8,pixel,0.0600,1000,0.7373
1.8,pixel,0.0600,1300,0.7353
1.8,pixel,0.0600,1600,0.7390
1.8,pixel,0.0600,1900,0.7375
1.8,pixel,0.0600,2100,0.7410
1.8,pixel,0.0600,2400,0.7394
1.8,pixel,0.0600,2700,0.7373
1.8,pixel,0.0600,3000,0.7369
1.8,pixel,0.0700,100,0.5872
1.8,pixel,0.0700,400,0.6423
1.8,pixel,0.0700,700,0.6656
1.8,pixel,0.0700,1000,0.6765
1.8,pixel,0.0700,1300,0.6772
1.8,pixel,0.0700,1600,0.6690
1.8,pixel,0.0700,1900,0.6787
1.8,pixel,0.0700,2100,0.6804
1.8,pixel,0.0700,2400,0.6796
1.8,pixel,0.0700,2700,0.6795
1.8,pixel,0.0700,3000,0.6779
1.8,pixel,0.0800,100,0.4506
1.8,pixel,0.0800,400,0.6034
1.8,pixel,0.0800,700,0.6265
1.8,pixel,0.0800,1000,0.6263
1.8,pixel,0.0800,1300,0.6275
1.8,pixel,0.0800,1600,0.6344
1.8,pixel,0.0800,1900,0.6385
1.8,pixel,0.0800,2100,0.6295
1.8,pixel,0.0800,2400,0.6393
1.8,pixel,0.0800,2700,0.6386
