Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.8,pixel,0.0200,700,0.6664
1.8,pixel,0.0200,1000,0.6691
1.8,pixel,0.0200,1300,0.6727
1.8,pixel,0.0200,1600,0.6736
1.8,pixel,0.0200,1900,0.6808
1.8,pixel,0.0200,2100,0.6911
1.8,pixel,0.0200,2400,0.6759
1.8,pixel,0.0200,2700,0.6849
1.8,pixel,0.0200,3000,0.6838
1.8,pixel,0.0300,100,0.5101
1.8,pixel,0.0300,400,0.6391
1.8,pixel,0.0300,700,0.6507
1.8,pixel,0.0300,1000,0.6585
1.8,pixel,0.0300,1300,0.6566
1.8,pixel,0.0300,1600,0.6504
1.8,pixel,0.0300,1900,0.6527
1.8,pixel,0.0300,2100,0.6595
1.8,pixel,0.0300,2400,0.6608
1.8,pixel,0.0300,2700,0.6495
1.8,pixel,0.0300,3000,0.6517
1.8,pixel,0.0400,100,0.5214
1.8,pixel,0.0400,400,0.6161
1.8,pixel,0.0400,700,0.6448
1.8,pixel,0.0400,1000,0.6468
1.8,pixel,0.0400,1300,0.6415
1.8,pixel,0.0400,1600,0.6583
1.8,pixel,0.0400,1900,0.6256
1.8,pixel,0.0400,2100,0.6399
1.8,pixel,0.0400,2400,0.6422
1.8,pixel,0.0400,2700,0.6499
1.8,pixel,0.0400,3000,0.6442
1.8,pixel,0.0500,100,0.4780
1.8,pixel,0.0500,400,0.6148
1.8,pixel,0.0500,700,0.6299
1.8,pixel,0.0500,1000,0.6374
1.8,pixel,0.0500,1300,0.6499
1.8,pixel,0.0500,1600,0.6145
1.8,pixel,0.0500,1900,0.6322
1.8,pixel,0.0500,2100,0.6400
1.8,pixel,0.0500,2400,0.6409
1.8,pixel,0.0500,2700,0.6308
1.8,pixel,0.0500,3000,0.6334
1.8,pixel,0.0600,100,0.4511
1.8,pixel,0.0600,400,0.5932
1.8,pixel,0.0600,700,0.6218
1.8,pixel,0.0600,1000,0.6300
1.8,pixel,0.0600,1300,0.6151
1.8,pixel,0.0600,1600,0.6129
1.8,pixel,0.0600,1900,0.6148
1.8,pixel,0.0600,2100,0.6094
1.8,pixel,0.0600,2400,0.6185
1.8,pixel,0.0600,2700,0.6046
1.8,pixel,0.0600,3000,0.6157
1.8,pixel,0.0700,100,0.4798
1.8,pixel,0.0700,400,0.5948
1.8,pixel,0.0700,700,0.5908
1.8,pixel,0.0700,1000,0.6034
1.8,pixel,0.0700,1300,0.6005
1.8,pixel,0.0700,1600,0.5971
1.8,pixel,0.0700,1900,0.6053
1.8,pixel,0.0700,2100,0.6095
1.8,pixel,0.0700,2400,0.6063
1.8,pixel,0.0700,2700,0.5934
1.8,pixel,0.0700,3000,0.6005
1.8,pixel,0.0800,100,0.4423
1.8,pixel,0.0800,400,0.5677
1.8,pixel,0.0800,700,0.5818
1.8,pixel,0.0800,1000,0.5745
1.8,pixel,0.0800,1300,0.5849
1.8,pixel,0.0800,1600,0.5844
1.8,pixel,0.0800,1900,0.5887
1.8,pixel,0.0800,2100,0.5811
1.8,pixel,0.0800,2400,0.5807
1.8,pixel,0.0800,2700,0.5798
1.8,pixel,0.0800,3000,0.5870
1.8,pixel,0.0900,100,0.3985
1.8,pixel,0.0900,400,0.5278
1.8,pixel,0.0900,700,0.5575
1.8,pixel,0.0900,1000,0.5521
1.8,pixel,0.0900,1300,0.5585
1.8,pixel,0.0900,1600,0.5591
1.8,pixel,0.0900,1900,0.5508
1.8,pixel,0.0900,2100,0.5491
1.8,pixel,0.0900,2400,0.5487
1.8,pixel,0.0900,2700,0.5510
1.8,pixel,0.0900,3000,0.5539
