Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.8,area,0.0900,2700,0.7275
1.8,area,0.0900,3000,0.7292
1.8,area,0.1000,100,0.0000
1.8,area,0.1000,400,0.6932
1.8,area,0.1000,700,0.7317
1.8,area,0.1000,1000,0.7265
1.8,area,0.1000,1300,0.7292
1.8,area,0.1000,1600,0.7273
1.8,area,0.1000,1900,0.7318
1.8,area,0.1000,2100,0.7326
1.8,area,0.1000,2400,0.7330
1.8,area,0.1000,2700,0.7315
1.8,area,0.1000,3000,0.7281
1.8,edge,0.0000,100,0.8973
1.8,edge,0.0000,400,0.9159
1.8,edge,0.0000,700,0.9361
1.8,edge,0.0000,1000,0.9306
1.8,edge,0.0000,1300,0.9361
1.8,edge,0.0000,1600,0.9343
1.8,edge,0.0000,1900,0.9369
1.8,edge,0.0000,2100,0.9390
1.8,edge,0.0000,2400,0.9439
1.8,edge,0.0000,2700,0.9349
1.8,edge,0.0000,3000,0.9367
1.8,edge,0.0004,100,0.3647
1.8,edge,0.0004,400,0.5891
1.8,edge,0.0004,700,0.8059
1.8,edge,0.0004,1000,0.7605
1.8,edge,0.0004,1300,0.8040
1.8,edge,0.0004,1600,0.7947
1.8,edge,0.0004,1900,0.8093
1.8,edge,0.0004,2100,0.8112
1.8,edge,0.0004,2400,0.8195
1.8,edge,0.0004,2700,0.8064
1.8,edge,0.0004,3000,0.7742
1.8,edge,0.0008,100,0.0000
1.8,edge,0.0008,400,0.6866
1.8,edge,0.0008,700,0.7299
1.8,edge,0.0008,1000,0.7292
1.8,edge,0.0008,1300,0.7276
1.8,edge,0.0008,1600,0.7313
1.8,edge,0.0008,1900,0.7259
1.8,edge,0.0008,2100,0.7285
1.8,edge,0.0008,2400,0.7248
1.8,edge,0.0008,2700,0.7324
1.8,edge,0.0008,3000,0.7339
1.8,edge,0.0012,100,0.0000
1.8,edge,0.0012,400,0.6936
1.8,edge,0.0012,700,0.7271
1.8,edge,0.0012,1000,0.7280
1.8,edge,0.0012,1300,0.7284
1.8,edge,0.0012,1600,0.7264
1.8,edge,0.0012,1900,0.7293
1.8,edge,0.0012,2100,0.7305
1.8,edge,0.0012,2400,0.7278
1.8,edge,0.0012,2700,0.7334
1.8,edge,0.0012,3000,0.7296
1.8,edge,0.0016,100,0.0000
1.8,edge,0.0016,400,0.6843
1.8,edge,0.0016,700,0.7306
1.8,edge,0.0016,1000,0.7281
1.8,edge,0.0016,1300,0.7261
1.8,edge,0.0016,1600,0.7312
1.8,edge,0.0016,1900,0.7304
1.8,edge,0.0016,2100,0.7255
1.8,edge,0.0016,2400,0.7337
1.8,edge,0.0016,2700,0.7311
1.8,edge,0.0016,3000,0.7304
1.8,edge,0.0020,100,0.0000
1.8,edge,0.0020,400,0.6878
1.8,edge,0.0020,700,0.7312
1.8,edge,0.0020,1000,0.7244
1.8,edge,0.0020,1300,0.7268
1.8,edge,0.0020,1600,0.7236
1.8,edge,0.0020,1900,0.7327
1.8,edge,0.0020,2100,0.7290
1.8,edge,0.0020,2400,0.7256
1.8,edge,0.0020,2700,0.7311
1.8,edge,0.0020,3000,0.7316
1.8,edge,0.0024,100,0.0000
1.8,edge,0.0024,400,0.6847
1.8,edge,0.0024,700,0.7299
1.8,edge,0.0024,1000,0.7282
1.8,edge,0.0024,1300,0.7261
1.8,edge,0.0024,1600,0.7231
1.8,edge,0.0024,1900,0.7306
1.8,edge,0.0024,2100,0.7235
1.8,edge,0.0024,2400,0.7297
1.8,edge,0.0024,2700,0.7277
1.8,edge,0.0024,3000,0.7306
1.8,edge,0.0028,100,0.0000
1.8,edge,0.0028,400,0.6658
1.8,edge,0.0028,700,0.7285
1.8,edge,0.0028,1000,0.7268
1.8,edge,0.0028,1300,0.7310
1.8,edge,0.0028,1600,0.7264
1.8,edge,0.0028,1900,0.7291
1.8,edge,0.0028,2100,0.7229
1.8,edge,0.0028,2400,0.7291
1.8,edge,0.0028,2700,0.7223
1.8,edge,0.0028,3000,0.7294
1.8,edge,0.0032,100,0.0000
1.8,edge,0.0032,400,0.6833
1.8,edge,0.0032,700,0.7284
1.8,edge,0.0032,1000,0.7232
1.8,edge,0.0032,1300,0.7240
1.8,edge,0.0032,1600,0.7265
1.8,edge,0.0032,1900,0.7291
1.8,edge,0.0032,2100,0.7248
1.8,edge,0.0032,2400,0.7288
1.8,edge,0.0032,2700,0.7251
1.8,edge,0.0032,3000,0.7292
1.8,edge,0.0036,100,0.0000
1.8,edge,0.0036,400,0.6885
