Frequency,Filter,Threshold,Frame Bitrate,Frame Count
2.1,area,0.0500,3000,75
2.1,area,0.0500,400,75
2.1,area,0.0500,700,75
2.1,area,0.0600,100,47
2.1,area,0.0600,1000,46
2.1,area,0.0600,1300,47
2.1,area,0.0600,1600,47
2.1,area,0.0600,1900,47
2.1,area,0.0600,2100,47
2.1,area,0.0600,2400,47
2.1,area,0.0600,2700,47
2.1,area,0.0600,3000,47
2.1,area,0.0600,400,47
2.1,area,0.0600,700,47
2.1,area,0.0700,100,32
2.1,area,0.0700,1000,32
2.1,area,0.0700,1300,32
2.1,area,0.0700,1600,32
2.1,area,0.0700,1900,32
2.1,area,0.0700,2100,32
2.1,area,0.0700,2400,32
2.1,area,0.0700,2700,32
2.1,area,0.0700,3000,32
2.1,area,0.0700,400,32
2.1,area,0.0700,700,32
2.1,area,0.0800,100,20
2.1,area,0.0800,1000,20
2.1,area,0.0800,1300,20
2.1,area,0.0800,1600,20
2.1,area,0.0800,1900,20
2.1,area,0.0800,2100,20
2.1,area,0.0800,2400,20
2.1,area,0.0800,2700,20
2.1,area,0.0800,3000,20
2.1,area,0.0800,400,20
